,proto_ipv6,status,url_stats,sales_phone,id,tech_email,city,policy_email,sales_email,tech_phone,media,proto_multicast,ixf_last_import,ixf_import_request,website,updated,service_level,terms,net_count,policy_phone,proto_unicast,region_continent,name,created,country,notes,status_dashboard,org_id,social_media,ixf_import_request_status,aka,fac_count,ixf_net_count,name_long,lat,lon
0,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,1,support@equinix.com,Ashburn,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:34:35Z,24/7 Support,Recurring Fees,344,,True,North America,Equinix Ashburn,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,2,0,Equinix Internet Exchange Ashburn,39.0300158,-77.4771059
1,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,2,support@equinix.com,Chicago,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:35:01Z,24/7 Support,Recurring Fees,252,,True,North America,Equinix Chicago,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,3,0,Equinix Internet Exchange Chicago,41.8337853,-87.73208439999999
2,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,3,support@equinix.com,Dallas,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:35:07Z,24/7 Support,Recurring Fees,195,,True,North America,Equinix Dallas,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,6,0,Equinix Internet Exchange Dallas,32.818576300000004,-96.73205684999999
3,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,4,support@equinix.com,Los Angeles,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:36:49Z,24/7 Support,Recurring Fees,100,,True,North America,Equinix Los Angeles,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,3,0,Equinix Internet Exchange Los Angeles,33.9984235,-118.41173905
4,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,5,support@equinix.com,San Jose,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:38:33Z,24/7 Support,Recurring Fees,204,,True,North America,Equinix San Jose,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,5,0,Equinix Internet Exchange San Jose (Bay Area),37.29615365,-121.81594215000001
5,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,7,support@equinix.com,Palo Alto,support@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:38:10Z,24/7 Support,Recurring Fees,82,,True,North America,Equinix Palo Alto,2010-07-29T00:00:00Z,US,Formerly PAIX,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,3,0,Equinix Internet Exchange Palo Alto,37.38331185,-122.13634210000001
6,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,9,servicesupport@equinix.com,Atlanta,servicesupport@equinix.com,,+18668118720,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:34:41Z,24/7 Support,Recurring Fees,30,,True,North America,Equinix Atlanta,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,3,0,Equinix Internet Exchange Atlanta,33.767315499999995,-84.42031399999999
7,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,11,servicesupport@equinix.com,Seattle,servicesupport@equinix.com,,,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:38:45Z,24/7 Support,Recurring Fees,32,,True,North America,Equinix Seattle,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,2,0,Equinix Internet Exchange Seattle,47.607568799999996,-122.34206449999999
8,True,ok,https://ix.equinix.com/home/locations-and-traffic/#traffic,,12,servicesupport@equinix.com,New York,servicesupport@equinix.com,,+18668118720,Ethernet,False,,,https://ix.equinix.com,2024-07-26T15:37:57Z,24/7 Support,Recurring Fees,112,,True,North America,Equinix New York,2010-07-29T00:00:00Z,US,,,2,"[{'identifier': 'https://ix.equinix.com', 'service': 'website'}]",queued,,5,0,Equinix Internet Exchange New York,40.697104,-73.97953799999999
9,True,ok,https://www.seattleix.net/statistics/,,13,info@seattleix.net,Seattle,info@seattleix.net,,+12063674320,Ethernet,False,2024-08-02T00:00:19Z,2021-09-16T20:16:27Z,https://www.seattleix.net/,2023-12-22T17:45:29Z,24/7 Support,Non-recurring Fees Only,370,+12063674320,True,North America,SIX Seattle,2010-07-29T00:00:00Z,US,"SIX port fees:

- 400G: $15k NRC, no MRC
- 100G: $7.5k NRC, no MRC
- 10G: $1.5k NRC, no MRC
- 1G: $100 NRC, no MRC
- Extension port: $100 NRC, no MRC",,29,"[{'identifier': 'https://www.seattleix.net/', 'service': 'website'}]",finished,,15,447,Seattle Internet Exchange (MTU 1500),47.607568799999996,-122.34206449999999
