AE: Kendall Tau: 0.39999999999999997, Pearson: 0.9812833589044873, Linear Coefficient: 0.915126135336311
AF: Kendall Tau: 0.7582417582417583, Pearson: 0.983082362088953, Linear Coefficient: 1.082000669042566
AG: Kendall Tau: 0.7333333333333333, Pearson: 0.9759436147336699, Linear Coefficient: 1.0652341113106552
AI: Kendall Tau: 0.6, Pearson: 0.8174851674763459, Linear Coefficient: 0.7388882060064877
AL: Kendall Tau: 0.6862745098039217, Pearson: 0.8148582216540468, Linear Coefficient: 1.6201868347728239
AM: Kendall Tau: 0.9047619047619049, Pearson: 0.9632039117098405, Linear Coefficient: 0.9416581194955905
AO: Kendall Tau: 0.9999999999999999, Pearson: 0.9481464046989981, Linear Coefficient: 0.7506943978528958
AR: Kendall Tau: 0.8461538461538461, Pearson: 0.9550252755988405, Linear Coefficient: 1.1749974574705597
AS: Kendall Tau: 1.0, Pearson: 0.9921388927326176, Linear Coefficient: 1.0580713153159713
AT: Kendall Tau: 0.7362637362637363, Pearson: 0.96640623008737, Linear Coefficient: 0.727106475026798
AU: Kendall Tau: 0.7454545454545454, Pearson: 0.854916205024286, Linear Coefficient: 0.5159080447824759
AZ: Kendall Tau: 0.8043478260869565, Pearson: 0.9183793964670788, Linear Coefficient: 0.8054688994785831
BA: Kendall Tau: 0.7818181818181819, Pearson: 0.9725202813186458, Linear Coefficient: 0.9190636586407462
BB: Kendall Tau: 1.0, Pearson: 0.9994455483512554, Linear Coefficient: 0.994399147173846
BD: Kendall Tau: 0.5300468541707745, Pearson: 0.9092901698334547, Linear Coefficient: 0.5766776549866923
BE: Kendall Tau: 1.0, Pearson: 0.9743211709769432, Linear Coefficient: 0.7848590489890164
BF: Kendall Tau: 0.7999999999999999, Pearson: 0.9807478726104166, Linear Coefficient: 1.0444374708259185
BG: Kendall Tau: 0.6945667492672501, Pearson: 0.9722945171169094, Linear Coefficient: 0.758029698166058
BH: Kendall Tau: 0.6, Pearson: 0.9203868884847581, Linear Coefficient: 0.8887342337184967
BI: Kendall Tau: 0.6, Pearson: 0.987971994903942, Linear Coefficient: 0.7759194402516658
BJ: Kendall Tau: 0.39999999999999997, Pearson: 0.667200008934198, Linear Coefficient: 0.8463034485961796
BM: Kendall Tau: 1.0, Pearson: 0.9503964573041233, Linear Coefficient: 0.8055967402843667
BN: Kendall Tau: 1.0, Pearson: 0.9999966945301654, Linear Coefficient: 0.9563315412784591
BO: Kendall Tau: 0.7857142857142856, Pearson: 0.8967988523282411, Linear Coefficient: 0.9138971960546497
BQ: Kendall Tau: 0.6666666666666669, Pearson: 0.8758245873143841, Linear Coefficient: 1.03605725879811
BR: Kendall Tau: 0.7142857142857144, Pearson: 0.9546905229706615, Linear Coefficient: 0.8481791032743324
BS: Kendall Tau: 1.0, Pearson: 0.9928304500442148, Linear Coefficient: 0.8838696932024858
BT: Kendall Tau: 0.9047619047619049, Pearson: 0.9817190444538516, Linear Coefficient: 0.8059421474705109
BW: Kendall Tau: 0.7777777777777777, Pearson: 0.9281906189047325, Linear Coefficient: 0.9819318073038316
BY: Kendall Tau: 0.8666666666666666, Pearson: 0.9610766899879029, Linear Coefficient: 1.0358845870620452
BZ: Kendall Tau: 0.7777777777777778, Pearson: 0.994213896582291, Linear Coefficient: 0.997075500497653
CA: Kendall Tau: 0.7802197802197802, Pearson: 0.9423059395644414, Linear Coefficient: 0.949748643531944
CD: Kendall Tau: 0.7333333333333333, Pearson: 0.980154047909791, Linear Coefficient: 0.8914871399648624
CF: Kendall Tau: 0.33333333333333337, Pearson: 0.9987758712163155, Linear Coefficient: 1.0657810747842908
CG: Kendall Tau: 0.3333333333333334, Pearson: 0.6655839225115404, Linear Coefficient: 0.9179736858053191
CH: Kendall Tau: 0.5166666666666667, Pearson: 0.9601253938506503, Linear Coefficient: 0.7677793519552953
CI: Kendall Tau: 0.6666666666666669, Pearson: 0.9976678067828477, Linear Coefficient: 1.0401392539225052
