AE: Kendall Tau: 0.6, Pearson: 0.988651866280678, Linear Coefficient: 0.9787439306802964
AF: Kendall Tau: 0.7362637362637363, Pearson: 0.9882928680507232, Linear Coefficient: 1.0887929719141554
AG: Kendall Tau: 0.7333333333333333, Pearson: 0.9998306459110858, Linear Coefficient: 0.9021029527142075
AI: Kendall Tau: 0.7999999999999999, Pearson: 0.8551969825096716, Linear Coefficient: 0.7599674443039443
AL: Kendall Tau: 0.7124183006535948, Pearson: 0.9204769333197906, Linear Coefficient: 1.6209022542104643
AM: Kendall Tau: 0.9047619047619049, Pearson: 0.9784546288875914, Linear Coefficient: 1.0204124243889254
AO: Kendall Tau: 0.9999999999999999, Pearson: 0.9985204335902609, Linear Coefficient: 0.9622657637185998
AR: Kendall Tau: 0.7802197802197802, Pearson: 0.9622668135926908, Linear Coefficient: 1.2147574253531483
AS: Kendall Tau: 1.0, Pearson: 0.9994574507749439, Linear Coefficient: 0.9875116990490943
AT: Kendall Tau: 0.7582417582417583, Pearson: 0.9724750119520322, Linear Coefficient: 0.8553619311253885
AU: Kendall Tau: 0.7818181818181819, Pearson: 0.8733161469620287, Linear Coefficient: 0.6638178422969024
AZ: Kendall Tau: 0.7731410192022685, Pearson: 0.9340045610397326, Linear Coefficient: 0.8528419469846147
BA: Kendall Tau: 1.0, Pearson: 0.9806774979177253, Linear Coefficient: 0.9219116332449577
BB: Kendall Tau: 1.0, Pearson: 0.9926776177570967, Linear Coefficient: 1.0516484098251737
BD: Kendall Tau: 0.7733333333333332, Pearson: 0.9768658911211542, Linear Coefficient: 0.7424590484288374
BE: Kendall Tau: 1.0, Pearson: 0.9633411450813847, Linear Coefficient: 0.8788630788941325
BF: Kendall Tau: 0.7999999999999999, Pearson: 0.9784037890412376, Linear Coefficient: 1.0708846075117413
BG: Kendall Tau: 0.8666666666666667, Pearson: 0.9579373113674137, Linear Coefficient: 0.7510687489996388
BH: Kendall Tau: 0.7333333333333333, Pearson: 0.9482755728452996, Linear Coefficient: 0.898332559462786
BI: Kendall Tau: 0.9999999999999999, Pearson: 0.9995859429483193, Linear Coefficient: 0.9533633789094205
BJ: Kendall Tau: 0.39999999999999997, Pearson: 0.5317361147749377, Linear Coefficient: 0.8024695067349885
BM: Kendall Tau: 1.0, Pearson: 0.9937828411139997, Linear Coefficient: 0.9666054861583591
BN: Kendall Tau: 1.0, Pearson: 0.9999996629999794, Linear Coefficient: 0.9859464571891621
BO: Kendall Tau: 0.7857142857142856, Pearson: 0.9473688226830909, Linear Coefficient: 0.9241955928064335
BQ: Kendall Tau: 1.0, Pearson: 0.9570660212805405, Linear Coefficient: 1.051398601053462
BR: Kendall Tau: 0.8021978021978022, Pearson: 0.9801212249651742, Linear Coefficient: 0.96812215133408
BS: Kendall Tau: 1.0, Pearson: 0.9977719673470469, Linear Coefficient: 0.9763650480703983
BT: Kendall Tau: 0.8095238095238096, Pearson: 0.9980305659523927, Linear Coefficient: 0.9277148009354087
BW: Kendall Tau: 0.8666666666666666, Pearson: 0.9728403234093294, Linear Coefficient: 0.9090006468553935
BY: Kendall Tau: 0.8666666666666666, Pearson: 0.9682950668019226, Linear Coefficient: 1.0553028959771984
BZ: Kendall Tau: 0.7777777777777778, Pearson: 0.9832182649590524, Linear Coefficient: 1.008615613164699
CA: Kendall Tau: 0.7362637362637363, Pearson: 0.9433278477396978, Linear Coefficient: 1.0382620445845585
CD: Kendall Tau: 0.6, Pearson: 0.9924230114577619, Linear Coefficient: 0.9946146272011699
CF: Kendall Tau: 1.0, Pearson: 0.9998510654851952, Linear Coefficient: 1.0646555795593198
CG: Kendall Tau: 0.3333333333333334, Pearson: 0.7488976314368481, Linear Coefficient: 0.9142841376529335
CH: Kendall Tau: 0.5833333333333334, Pearson: 0.9590621085501866, Linear Coefficient: 0.8723961807592151
CI: Kendall Tau: 0.6666666666666669, Pearson: 0.9931439486702666, Linear Coefficient: 0.9753001861570448
CL: Kendall Tau: 0.8539864924534399, Pearson: 0.9278736451443672, Linear Coefficient: 1.0304831779644232
CM: Kendall Tau: -0.33333333333333337, Pearson: 0.6384434751044175, Linear Coefficient: 0.7494663493777067
CN: Kendall Tau: 0.6380952380952382, Pearson: 0.9539204322106206, Linear Coefficient: 1.1462811363276
CO: Kendall Tau: 0.871345029239766, Pearson: 0.9548237672150567, Linear Coefficient: 1.0429581018999083
CR: Kendall Tau: 0.9120879120879122, Pearson: 0.9824777307069228, Linear Coefficient: 0.9888591063283046
CV: Kendall Tau: 1.0, Pearson: 0.9990727892612418, Linear Coefficient: 1.0162370944916388
CW: Kendall Tau: 1.0, Pearson: 0.975995433608252, Linear Coefficient: 0.977898413331626
CY: Kendall Tau: 0.8717948717948716, Pearson: 0.9893377277353625, Linear Coefficient: 1.0956544145167728
